"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density","covid_rank","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical_cases","cases_per_M_pop","deaths_per_M_pop","total_tests","tests_per_M_pop","population_covid","pov_rank","pop_below_poverty_line"
"187","Pakistan",37,"77",36,"78",81,"4",5,220892.34,216565.318,1.02,881912,245.5634,18,"66,457","2,429","1,395","78","24,131","40,931","111","301","6","532,037","2,413","220,485,909",66,29.5
"190","Panama",102,"7.5",80,"16",58,"10",128,4314.767,4246.439,1.0161,75417,56.3061,46,"12,531","","326","","7,540","4,665","79","2,908","76","63,202","14,669","4,308,467",87,23
"191","Papua New Guinea",132,"2.9",153,"1.4",108,"1.7",98,8947.024,8776.109,1.0195,462840,18.9614,210,"8","","","","8","0","","0.9","","2,402","269","8,931,009",43,37
"192","Paraguay",95,"8.9",103,"8.5",140,"0.6",106,7132.538,7044.636,1.0125,406752,17.3192,118,"917","","11","","413","493","1","129","2","28,337","3,977","7,124,576",93,22.2
"193","Peru",56,"37",53,"36",50,"14",43,32971.854,32510.453,1.0142,1285216,25.2957,12,"148,285","","4,230","","62,791","81,264","926","4,503","128","963,617","29,263","32,929,707",90,22.7
"194","Philippines",40,"64",38,"68",28,"31",13,109581.078,108116.615,1.0135,342353,315.8045,39,"17,224","590","950","8","3,808","12,466","56","157","9","340,954","3,115","109,447,729",100,21.6
"195","Poland",24,"145",32,"88",52,"12",38,37846.611,37887.768,0.9989,312679,121.1715,35,"23,571","416","1,061","10","11,016","11,494","160","623","28","899,069","23,753","37,850,086",117,17.6
"196","Portugal",49,"46",67,"26",35,"22",88,10196.709,10226.187,0.9971,92090,111.0456,28,"32,203","257","1,396","13","19,186","11,621","66","3,157","137","795,838","78,030","10,199,174",113,19
"202","Romania",52,"43",57,"32",93,"3",61,19237.691,19364.557,0.9934,238391,81.2302,38,"19,133","151","1,259","11","13,046","4,828","160","994","65","425,819","22,123","19,248,085",92,22.4
"205","Rwanda",164,"0.5",156,"1.2",146,"0.5",76,12952.218,12626.95,1.0258,26338,479.4195,144,"355","","","","247","108","","27","","65,608","5,078","12,920,834",40,39.1
"216","Sao Tome and Principe",195,"0.06",192,"0.2",162,"0.2",187,219.159,215.056,1.0191,964,223.0871,137,"463","","12","","68","383","","2,116","55","175","800","218,775",8,66.2
"218","Senegal",133,"2.9",133,"2.9",79,"4.4",71,16743.927,16296.364,1.0275,196722,82.8396,75,"3,535","106","42","1","1,761","1,732","14","212","3","40,735","2,439","16,700,407",27,46.7
"219","Serbia",61,"29",97,"9.7",111,"1.6",99,8737.371,8772.235,0.996,88361,99.2772,49,"11,381","27","242","","6,606","4,533","10","1,302","28","242,782","27,777","8,740,269",155,8.9
"220","Seychelles",175,"0.3",180,"0.4",123,"1.1",199,98.347,97.739,1.0062,452,216.2367,206,"11","","","","11","0","","112","","","","98,294",39,39.3
"221","Sierra Leone",177,"0.2",148,"1.6",161,"0.3",103,7976.983,7813.215,1.021,71740,108.9102,120,"852","23","46","1","415","391","","107","6","","","7,961,529",4,70.2
"224","Slovakia",64,"25",86,"13",131,"0.8",117,5459.642,5457.013,1.0005,49037,111.2836,99,"1,521","1","28","","1,356","137","","279","5","170,995","31,321","5,459,418",144,12.3
"225","Slovenia",83,"13",89,"12",147,"0.5",149,2078.938,2078.654,1.0001,20273,102.5331,101,"1,473","","108","","1,357","8","2","709","52","79,897","38,432","2,078,914",141,13.9
"228","South Africa",18,"212",17,"198",25,"41",24,59308.69,58558.27,1.0128,1221037,47.9578,30,"29,240","","611","","15,093","13,536","128","494","10","680,175","11,482","59,240,605",122,16.6
"229","South Korea",8,"487",19,"189",14,"109",28,51269.185,51225.308,1.0009,100210,511.1796,48,"11,441","39","269","","10,398","774","15","223","5","902,901","17,612","51,265,441",136,14.4
"231","Spain",14,"235",28,"114",13,"114",30,46754.778,46736.776,1.0004,505992,92.3666,4,"285,644","","27,121","","196,958","61,565","617","6,110","580","3,556,567","76,071","46,753,246",105,21.1
"232","Sri Lanka",89,"10",77,"18",60,"9.1",58,21413.249,21323.733,1.0042,65610,325.0074,98,"1,566","8","10","","781","775","1","73","0.5","62,208","2,906","21,405,475",162,6.7
"236","Suriname",145,"1.4",128,"3.2",130,"0.9",171,586.632,581.372,1.009,163820,3.5488,202,"12","","1","","9","2","","20","2","782","1,334","586,164",6,70
